id	label	name.cn	name.en	description.cn	description.en	baseScore	matcherKey	params
rule-0038	binary	二进制/成都	Binary/San Francisco	棋盘只包含0和1，且两者都出现。	The grid contains only 0 and 1, and both occur.	100	digit-constraints	"{""requiredDigits"":[0,1],""forbiddenDigits"":[2,3,4,5,6,7,8,9]}"
rule-0039	zero-curl-board	零旋度盘面	Zero Curl Board	每个2×2区域的两条对角线之和相等。	The two diagonal sums are equal in every 2x2 subgrid.	100	zero-curl	{}
rule-0040	cake	蛋糕	The Cake	包含符合蛋糕合成表数字分配的3×3区域。	Contains a 3x3 area matching the cake recipe pattern.	100	pattern-matcher	"{""pattern"":[""mmm"",""ses"",""www""],""multiple"":true,""allowOverlap"":false,""coefficient"":{""type"":""match-count""}}"
rule-0041	reverse-cake	糕蛋	ekaC ehT	包含一个蛋糕模板区域，并有另一区域与它上下对称。	Contains a cake-pattern area and another area vertically mirrored from it.	100	cake-pair	{}
rule-0042	hell	地狱	hELL	每一行都包含连续横向序列7734。	Every row contains the horizontal sequence 7734.	100	horizontal-sequence	"{""sequence"":[7,7,3,4],""everyRow"":true}"
rule-0043	champion	状元	The Champion	至少一行或一列达到博饼的状元级别。	At least one row or column qualifies as a Bo Bing champion.	100	bo-bing	"{""category"":""champion"",""scope"":""any-row-column""}"
rule-0044	tetris	俄罗斯方块	Tetris	某个数字组成俄罗斯方块中的T、L、J、S或Z形。	One digit forms a Tetris T, L, J, S, or Z shape.	100	tetrominoes	"{""shapes"":""tljsz"",""coefficient"":""exponential""}"
rule-0045	minesweeper	扫雷	MineSweeper	存在一个格子的数字等于其周围八格中0的数量。	A cell equals the number of zeros among its eight neighbors.	100	minesweeper	{}
rule-0046	champion-golden-flower	状元插金花	The Champion with Golden Flower	至少一行或一列恰有四个4和两个1。	At least one row or column contains exactly four 4s and two 1s.	100	bo-bing	"{""category"":""golden-flower"",""scope"":""any-row-column""}"
rule-0047	crosshair	有框不打？	Crosshair	存在一个格子，其上下左右四格数字相等。	A cell has four equal orthogonal neighbors.	100	pattern-matcher	"{""pattern"":["" & "",""&#&"","" & ""],""multiple"":true,""coefficient"":{""type"":""match-count""}}"
rule-0048	mahjong	麻将	Mahjong	数字1–9各出现恰好4次。	Each digit from 1 through 9 occurs exactly four times.	100	digit-counts	"{""counts"":{""1"":4,""2"":4,""3"":4,""4"":4,""5"":4,""6"":4,""7"":4,""8"":4,""9"":4}}"
rule-0049	mojang	附魔金苹果	Mojang	包含符合附魔金苹果合成表的3×3区域。	Contains a 3x3 area matching the enchanted golden apple recipe.	200	pattern-matcher	"{""pattern"":[""###"",""#*#"",""###""],""coefficient"":{""type"":""constant"",""value"":1}}"
rule-0050	nether-portal	下界传送门	Nether Portal	包含宽4–6格、高5–6格的方框，边框数字不小于7，内部数字不大于2。	Contains a 4-6 by 5-6 frame with border digits at least 7 and interior digits at most 2.	100	nether-portal	{}
rule-0051	end-portal	末地传送门	End Portal	包含符合末地传送门格式的5×5区域。	Contains a 5x5 area matching the End Portal pattern.	100	pattern-matcher	"{""pattern"":["" FFF "",""FPPPF"",""FPPPF"",""FPPPF"","" FFF ""],""coefficient"":{""type"":""match-count""}}"
rule-0052	narrow-field	窄场地	Narrow Field	不同数字能构成俄罗斯方块T、I、L、J、O、S、Z并消行。	Different digits form Tetris pieces that can clear a line.	100	narrow-field	{}
rule-0053	creeper	苦力怕	Creeper	苦力怕脸区域的数字不小于7，区域外数字不大于2。	Digits in a Creeper face are at least 7 and digits outside are at most 2.	100	pattern-matcher	"{""pattern"":[""##..##"",""##..##"",""..##.."","".####."","".####."","".#..#.""],""symbolValues"":{""#"":[7,8,9],""."":[0,1,2]},""coefficient"":{""type"":""match-count""}}"
rule-0054	maimai-dx	唉舞萌吃	maimai DX	紧贴四角的八个格子对应舞萌的1–8号键。	Eight cells beside the corners correspond to maimai DX keys 1 through 8.	100	pattern-matcher	"{""pattern"":["" 8  1 "",""7    2"",""      "",""      "",""6    3"","" 5  4 ""],""coefficient"":{""type"":""match-count""}}"
rule-0055	pareto-principle	贫富差距	Pareto Principle	数值最大的不足20%格子的和不小于棋盘总和的80%。	The largest-valued fewer than 20 percent of cells sum to at least 80 percent of the total.	100	pareto	"{""cellPercent"":20,""sumPercent"":80}"
rule-0056	seven-above-eight	七上八下		所有7都位于所有8的上方。	Every 7 is above every 8.	100	digit-above	"{""upper"":7,""lower"":8}"
rule-0057	missing-three-four	丢三落四		棋盘没有3，且除最下方一行外没有4。	The grid contains no 3, and no 4 outside the bottom row.	100	restricted-digits	{}
rule-0058	effective-compression	高效压缩	Effective Compression	按行优先拼接棋盘并进行游程编码，编码后的数值个数少于36。	Run-length encoding of the row-major grid uses fewer than 36 numeric values.	100	run-length-compression	"{""originalLength"":36}"
rule-0059	one-two-much	说一不二	One, But Two Much	棋盘包含1但不包含2。	The grid contains 1 but not 2.	100	digit-constraints	"{""requiredDigits"":[1],""forbiddenDigits"":[2]}"
rule-0060	ouroboros	衔尾蛇	Ouroboros	棋盘顺时针螺旋展开后的序列是回文。	The clockwise spiral traversal is a palindrome.	100	spiral-palindrome	{}
rule-0061	alcohol	乙醇	Alcohol	以格内数字作为元素序号，包含乙醇结构式。	Treating digits as atomic numbers, the grid contains an ethanol structural formula.	100	pattern-matcher	"{""pattern"":["" 11  "",""16681"","" 11  ""],""multiple"":true,""coefficient"":{""type"":""match-count""}}"
rule-0062	three-way-confrontation	三方对质		第1–2、3–4、5–6行分别拼成的三个12位数均为质数。	The three 12-digit numbers formed by row pairs 1-2, 3-4, and 5-6 are prime.	100	paired-row-primes	{}
rule-0063	go	围棋	AlphaGo	存在由数字A组成的环，包围只含另一数字B的区域。	A ring of digit A surrounds an area containing only another digit B.	100	captured-stones	{}
rule-0064	e-shape	E	E	存在一个所有格子数字相同的E形结构。	The grid contains an E-shaped structure made of one digit.	100	e-shape	"{""mirrored"":false}"
rule-0065	no-prize	未中奖		所有行、列及主副对角线均处于博饼未中奖级别。	Every row, column, and main diagonal is a no-prize Bo Bing roll.	100	bo-bing	"{""category"":""no-prize"",""scope"":""all-lines""}"
rule-0066	block-comment	块注释	Block Comment	某行包含18，且它下方的某行包含81。	A row contains 18 and a lower row contains 81.	100	block-comment	{}
rule-0067	six-seventh	6/7	six seventh	至少一行是142857的循环排列之一。	At least one row is a cyclic permutation of 142857.	100	cyclic-row	{}
rule-0068	all-loops	全是圈套		数字自身的圈与数字围成的圈总数超过36。	The total number of loops inside digits and enclosed by digits exceeds 36.	100	loop-count	"{""threshold"":36}"
rule-0069	six-queen	六皇后	6-Queen	某个数字的全部位置构成六皇后问题的解。	All occurrences of one digit form a solution to the six-queens problem.	100	n-queens	"{""size"":6}"
rule-0070	flower	小花	Flower	包含由同一数字组成的3×3十字形。	Contains a 3x3 cross made of one digit.	100	pattern-matcher	"{""pattern"":["" # "",""###"","" # ""],""coefficient"":{""type"":""constant"",""value"":1}}"
rule-0071	next-round	套圈	Next Round	棋盘从外到内分成三个同值数字圈。	The grid consists of three uniform concentric rings.	100	pattern-matcher	"{""pattern"":[""aaaaaa"",""abbbba"",""abccba"",""abccba"",""abbbba"",""aaaaaa""],""coefficient"":{""type"":""match-count""}}"
rule-0073	self-introduction	自我介绍	Self Introduction	每个相同数字的正交连通块面积等于该数字。	Every orthogonally connected same-digit region has an area equal to its digit.	100	self-describing-regions	{}
rule-0074	reversed-e	Ǝ	Reversed E	存在一个所有格子数字相同的镜像E形结构。	The grid contains a mirrored E-shaped structure made of one digit.	100	e-shape	"{""mirrored"":true}"
rule-0075	creeper-cousin	苦力怕的表弟	Creeper's Cousin	整块棋盘是一张上下颠倒的苦力怕脸：脸部数字不小于7，其余不大于2。	The whole board is an upside-down Creeper face — face digits at least 7, background at most 2.	150	value-mask	"{""pattern"":["".#..#."","".####."","".####."",""..##.."",""##..##"",""##..##""],""values"":{""#"":[7,8,9],""."":[0,1,2]}}"
rule-0076	diamond-rain	钻石铺满地	Diamonds Everywhere	存在一个由同一数字组成的5×5菱形。	A 5×5 rhombus made of a single repeated digit.	120	pattern-matcher	"{""pattern"":[""  D  "","" DDD "",""DDDDD"","" DDD "",""  D  ""],""multiple"":true,""coefficient"":{""type"":""match-count""}}"
rule-0077	steve-pickaxe	史蒂夫的镐	Steve's Pickaxe	棋盘某处画着一把镐：镐头三格用同一数字，木柄用另一数字。	Somewhere on the board sits a Minecraft pickaxe — one digit for the head, a different digit for the stick.	130	pattern-matcher	"{""pattern"":[""HHH"","" X "","" X ""],""coefficient"":{""type"":""match-count""}}"
rule-0078	loopy	处处有圈	Loopy	数字自身孔洞加上数字围成的封闭区域超过17个圈。	The holes printed inside digits plus the pockets they enclose add up to more than 17 loops.	100	loop-count	"{""threshold"":17}"
